Title_Text,Main_Text,link
Хас Банкны түүх,"Компанийн засаглал, Нийгмийн хариуцлагын хүрээнд авч хэрэгжүүлж буй арга хэмжээгээрээ салбартаа жишиг тогтоож буй ХасБанк нь Эх дэлхий, Эрдэнэт хүмүүн, Эрүүл ашгийг эрхэмлэсэн, санхүүгийн зах зээлд манлайлах үйлчилгээтэй тэргүүлэгч банк байх эрхэм зорилгыг өмнөө тавин Монгол орон даяар үйл ажиллагаа явуулж буй 71 салбар нэгж, бизнес үйлчилгээний төвүүд, тэдгээрт ажиллаж буй 1,152 мэргэшсэн ажилтан, 8,000 гаруй мерчант, 360 гаруй АТМ-аар дамжуулан 1 сая харилцагчдадаа санхүүгийн цогц үйлчилгээг хамгийн сүүлийн үеийн дэвшилтэт технологийг ашиглан, нэр төртэйгээр хурдан шуурхай хүргэж байна.",https://www.xacbank.mn/page/about
Хас Банкны үнэт зүйлс,"Хүртээмжтэй
Санаачилгатай
Нийгмийн хариуцлагатай
Харилцагч төвтэй
Эрч хүчтэй
Мэргэжлийн",https://www.xacbank.mn/page/about
Хас Банкны хэтийн зорилт,Бид Монголдоо дэлхийн түвшний санхүүгийн үйлчилгээтэй байгууллага болно.,https://www.xacbank.mn/page/about
Хас банкны нийгмийн хариуцлага,"ХасБанк нь Монгол улсын нийгэм болон эдийн засгийн хөгжлийн төлөө ямагт үйлчилж, Эх Дэлхий, Эрдэнэт Хүмүүн, Эрүүл Ашгийг дээдэлдэгээрээ бусад арилжааны банкуудаас онцгой банк бөгөөд нийгмийн хариуцлагаар Монгол улсдаа төдийгүй олон улсад тэргүүлэгч банк юм.
ХасБанк нь нийгмийн хариуцлагаа өндөрт ухамсарлаж Монгол улсын соёлын өвийг дэлгэрүүлэх, хүүхэд залуучуудын эрдэм мэдлэгийг дээшлүүлэх, байгаль орчинг хамгаалж, сэргээх, урлаг спортыг хөгжүүлэх чиглэлээр дараах үйл ажиллагааг жил бүр зохион байгуулж, ивээн тэтгэдэг билээ.
""Хас Төгөл"" мод тарих аян;
“Утаагүй зуух, гэрийн дулаалга” эко төсөл;
""Органик Монгол"" Хөтөлбөр;
""Афлатон"" болон ""Тэмүүлэл"" санхүүгийн боловсролын хөтөлбөрүүд;
Их Талын Дуулиан 2020"" хүүхдийн хөлбөмбөгийн тэмцээн;
Хасын Хүлэгүүд сагсан бөмбөгийн баг;
“Хасын хүлгүүд” хөл бөмбөгийн баг;
“Xac Cup” гольфийн тэмцээн",https://www.xacbank.mn/page/social-responsibility
Хас Банкны хүрээ,"71 Салбар нэгж
1152 Мэргэшсэн ажилтан
8000 Мерчант
1000000 Харилцагчид",https://www.xacbank.mn/page/about
Хас Банкны амжилт,"Харилцагч төвтэй үйлчилгээг эрхэмлэж, олон улсын банк, санхүүгийн тэргүүн туршлага, орчин үеийн технологийн дэвшлийг хамгийн түрүүнд нэвтрүүлэгч байхыг зорин ажиллаж, тогтвортой болон ил тод үйл ажиллагааг чухалчилан, өсөлт хөгжилд тэмүүлсэн харилцагчдынхаа эрэлт, хэрэгцээнд тохирсон санхүүгийн үйчилгээг саадгүй хүргэж ирсэн нь ХасБанкыг Монгол улсдаа төдийгүй дэлхий дахинд хүлээн зөвшөөрөгдсөн санхүүгийн байгууллага болохыг нотолж, 2013 онд Global Banking and Finance Review awards-аас Монгол улсын “Шилдэг Иргэдийн Банк”, 2013, 2016, 2017, 2019 онуудад The Banker сэтгүүлээс “Монгол Улсын Шилдэг Банк”, 2014, 2016, 2017, 2018 онуудад Global Finance сэтгүүлээс “Монгол улсын Шилдэг Банк”, Capital Finance International сэтгүүлээс “Ази тивийн шилдэг засаглалтай компани”, Global Banking and Finance Review awards-аас “ЖДБ-ийг дэмжигч Шилдэг банк” мөн Asia Money сэтгүүлээс ""ЖДБ эрхлэгчдэд ээлтэй банк"" шагналуудыг тус тус хүртсэн. 
Монгол улсын “Шилдэг Банк” 2018 
МОНГОЛ УЛСЫН “ШИЛДЭГ БАНК” 2017 
МОНГОЛ УЛСЫН “ШИЛДЭГ БАНК” 2017 
""ЖДБ эрхлэгчдэд ээлтэй банк"" 2017 
МОНГОЛ УЛСЫН “ШИЛДЭГ БАНК” 2016 
МОНГОЛ УЛСЫН “ШИЛДЭГ БАНК” 2016 
МОНГОЛ УЛСЫН “ШИЛДЭГ БАНК” 2014 
""ЖДБ-ИЙГ ДЭМЖИГЧ ШИЛДЭГ БАНК"" 2014 
АЗИ ТИВИЙН ""ШИЛДЭГ ЗАСАГЛАЛТАЙ КОМПАНИ"" 2014 
МОНГОЛ УЛСЫН “ШИЛДЭГ БАНК” 2013 
МОНГОЛ УЛСЫН “ШИЛДЭГ иргэдийн БАНК” 2013",https://www.xacbank.mn/page/about
Хас Банкны тухай,"ХасБанк 2001 онд байгууллагдсан цагаасаа Монгол Улсын банк санхүүгийн системд тогтвортой өсөлтийг бий болгож, үйл ажиллагаагаа өргөтгөж ирсэн бөгөөд өдгөө банкны системд нөлөө бүхий 5 банкны нэг болоод байна.




",https://www.xacbank.mn/page/about
ТэнГэр санхүүгийн нэгдлийн үүсэл хөгжил,"1998 онд НҮБ-ын Хөгжлийн Хөтөлбөрөөс хэрэгжүүлж байсан “МикроСтарт” хэмээх төсөл нь Хөгжлийн Алтан Сан (ХАС) ХХК-ийн тулгын чулууг анх тавьсан юм. Тун удалгүй зургаан Төрийн Бус Байгууллага (ТББ)-тай нэгдэн Монгол улсын хамгийн анхны Банк Бус Санхүүгийн Байгууллага (ББСБ) үүсэн байгуулагдсан түүхтэй.
Хэдийгээр бүхнийг эхнээс нь эхэлсэн ч тун богино хугацаанд буюу 2001 онд Говийн эхлэл ББСБ-тай нэгдэн ХасБанк нэрээр Монгол Улсын банк санхүүгийн салбарт, тэр дундаа бичил санхүүгийн секторт хүч түрэн орж ирсэн юм. Өдгөө тус банк нь Монгол Улсын бичил санхүүгийн салбарт тэргүүлэгч төдийгүй үйл ажиллагаандаа дэлхийн хэмжээний стандарт, загваруудыг нэвтрүүлэн бусдыгаа түүчээлэн ажиллаж байна.
ТэнГэр Санхүүгийн Нэгдэл нь Монгол улсын анхдагч хоёр томоохон банк бус санхүүгийн байгууллага (ББСБ) болох Хөгжлийн Алтан Сан (ХАС) ХХК болон Говийн Эхлэл (ГЭ) ХХК 2001 оны 10 дугаар сарын 1-ний өдөр нэгдэж нийлснээр ХасБанкийг үүсгэн байгуулж, түүний албан ёсны толгой компани болсон түүхтэй. ХасБанкны 99.9 хувийг ТэнГэр Санхүүгийн Нэгдэл эзэмшдэг. Эдгээр хоёр компани нь тухайн үеийн шилдэг ББСБ байсан бөгөөд жижиг дунд бизнес болоод бичил зээлийн чиглэлээр газар зүйн хувьд давхардалгүйгээр тус бүр үйл ажиллагаа явуулж байсан юм. Мөн түүнчлэн ХАС болон Говийн Эхлэл нь донор хандивлагч байгууллага болох НҮБ-ын Хөгжлийн Хөтөлбөр, АНУ-ын Олон Улсын Хөгжлийн Агентлагийн төслийн санхүүжилттэй, Монголын болоод олон улсын төрийн бус байгууллагууд эрхэлсэн боловч мэргэшсэн удирдлагын багтай үйл ажиллагаа явуулж байжээ. Эдүгээ ТэнГэр Санхүүгийн Нэгдэл нь Монгол улсын банк, санхүүгийн салбарт тогтвортой байр суурь эзэлсэн хэд хэдэн охин компаниудаас бүрдэж байна.
2001 онд нэгдэж нийлэх үеэр ХАС нь жинхэнэ үйл ажиллагаа эрхэлсэн компани болж нэрээ ХасБанк хэмээн өөрчилсөн бөгөөд Монголбанк (Төв банк)-аас арилжааны банкны лиценз авсан бол Говийн Эхлэл нь нэрээ ХАС-ГЭ хэмээн өөрчилж тус банкны толгой компани болсон байна. Тухайн үед уг толгой компани нь өөрийн гэсэн тусгай үйл ажиллагаа эрхэлдэггүй харин ХасБанкийг хөгжүүлэхэд анхаарлаа төвлөрүүлсэн олон янзын хувь нийлүүлэгчдийн эрх ашгийг нэгтгэх зорилго бүхий байгууллага байжээ. Энэхүү зохион байгуулалтын бүтэц нь ХасБанкинд хувь нийлүүлэн өмчлөх болон удирдан чиглүүлэх нөхцлийг үүсгэн байгуулагч төрийн байгууллагуудад олгож байсан юм. Мөн түүнчлэн дотоодын хувийн хэвшлийн аж ахуйн нэгж байгууллага, гадаадын бичил санхүүгийн сангууд, улмаар олон улсын санхүүгийн байгууллагуудыг тус Банкны хувь нийлүүлэгч болоход тус дэм үзүүлжээ. Толгой компанийн бүтэц нь бүр анхнаас бусад ижил төрлийн бизнес болох лизинг, даатгалын чиглэлээр цаашид хөгжүүлэх боломжтой хэлбэрээр бүрдүүлжээ. Анх үүсгэн байгуулсан гэрээнд ХАС-ГЭ нь эрхэм зорилгоо ""санхүүгийн тогтвортой бөгөөд тулхтай компаниудын бүлэг байгуулах үүднээс хувь нийлүүлэгчдийн үнэ цэнийг нэмэгдүүлэх"" хэмээн тодорхойлжээ.",https://www.xacbank.mn/page/history-of-bank-and-tfg
"Агаарын бохирдол, хүлэмжийн хийг бууруулахад авч буй арга хэмжээ","
ХасБанк Улаанбаатар хотын агаарын бохирдлыг бууруулж, хүлэмжийн хийг сааруулахад хувь нэмрээ оруулах үүднээс 2009 онд Эко бүтээгдэхүүн нэвтрүүлэх хөтөлбөрийг санаачлан хэрэгжүүлж эхэлсэн бөгөөд энэ ажлын хүрээнд Улаанбаатар хотын гэр хорооллын айл өрхүүдэд эрчим хүчний хэмнэлттэй зуух болон гэрийн дулаалгыг тарааж эхэлсэн. Тус хөтөлбөр нь Улаанбаатар хотын нийт айл өрхүүдийн 80%-ийг хамарч, 2009 оноос хойш нийдээ 143,015 эрчим хүч хэмнэлттэй зуух, 19,850 гэрийн дулаалгыг хөнгөлттэй үнээр гэр хорооллын айл өрхүүдэд борлуулснаар айл өрхүүдийн нүүрсний хэрэглээг 2 дахин бууруулахад нөлөөлсөн.
ХасБанк АНУ-ын МикроЭнержи Кредит /МЭК/ хэмээх байгууллагатай хамтран НҮБ-ийн Цэвэр Хөгжлийн Механизм /ЦХМ/-ийн дагуу тус төсөл хөтөлбөрийг хэрэгжүүлсэн ба МЭК-ийг хөтөлбөрийн зохицуулагч нэгж байгууллагаар гэрээлэн ажилуулж байна. Хөтөлбөрийн үр дүнг хэмжихийн тулд жил бүр хүлэмжийн хийн бууралтыг тооцоолж, олон улсын хөндлөнгийн байгууллагаар баталгаажуулах шаардлагатай байдаг.
Иймд хүлэмжийн хийн бууралтын тооцооллыг нарийвчлан гаргахын тулд ХасБанк МЭК-тэй хамтран 2011 онд Тракер платформыг Уур амьсгалын санхүүжилтийн инновацийн сангийн тусламжтайгаар хөгжүүлсэн. Энэхүү пларформ нь андройд утастай ажилладаг онлайн програм бөгөөд бүтээгдэхүүн болгоны борлуулалт, түгээлт, суурилуулалт болон хяналтыг тогтмол хийх боломжийг бүрдүүлсэн. Хяналтын ажлыг автоматжуулснаар хүлэмжийн хийн бууралтын тооцоллыг илүү боловсронгуй болгож чадсан. ",https://www.xacbank.mn/page/reducing-airpollution-gasemission
Гомдлын зэрэглэл ба Шийдвэрлэх хугацаа,"А зэрэглэлийн гомдол ажилтан хөдөлмөрийн гэрээ, хөдөлмөрийн дотоод журам болон бусад хэм хэмжээ тогтоосон эрх зүйн актаар хүлээсэн үүргээ ноцтой зөрчсөн, эрх мэдлээ хэтрүүлсэн, урвуулан ашигласан, харилцагчийн мэдээллийг задруулсан, ажлаа зохих ёсоор гүйцэтгээгүйн улмаас харилцагчид эд хөрөнгийн хохирол учруулсан үйлдэл, эс үйлдэхүйн улмаас гарсан гомдол. Ажлын 3 өдөрт багтаан шийдвэрлэнэ.
B зэрэглэлийн гомдол банкны Харилцагчийн үйлчилгээний нэгдсэн стандартад заасан ""Харилцаанд баримтлах стандартууд""-ыг мөрдөөгүй шалтгааны улмаас гаргасан гомдол. Ажлын 1 өдөрт багтаан шийдвэрлэнэ.
C зэрэглэлийн гомдол ажилтан ажлаа зохих ёсоор гүйцэтгээгүйн улмаас харилцагчид эд хөрөнгийн бус хохирол буюу чирэгдэл учруулсан шалтгааны улмаас гаргасан гомдол. Ажлын 1 өдөрт багтаан шийдвэрлэнэ.
D зэрэглэлийн гомдол банкны дотоод үйл ажиллагаа, сүлжээ программын алдаа, бусад байгууллагын ажиллагаанаас харилцагчид эдийн болон эд хөрөнгийн бус хохирол учирсаны улмаас гаргасан гомдол.
Эд хөрөнгийн хохирол учраагүй D зэрэглэлийн гомдол - ажлын 1 өдөрт багтаан шийдвэрлэнэ;
Эд хөрөнгийн хохирол учирсан D зэрэглэлийн гомдол - ажлын 3 өдөрт багтаан шийдвэрлэнэ.",https://www.xacbank.mn/page/where-to-file-a-complaint
Хөтөлбөрийн тухай,"Дэлхийн хүн амын өсөлт, эдийн засаг, технологийн хөгжлийг даган, байгаль орчин түүний баялагт хандах хүн төрөлхтний хандлага, хэрэглээ жилээс жилд өөрчлөгдөж олон талын сөрөг нөлөөллийг үүсгэж байна. Уур амьсгалын өөрчлөлт, хөрс-агаар-усны бохирдол, эрчим хүчний эх үүсвэр, байгалийн нөөц, хоол хүнсний хомсдол, хүлэмжийн хийн ялгарал зэрэг асуудлууд нь дэлхий нийтийн өмнө нэн хурцаар тулгарч ядуурал, өлсгөлөнгийн түвшинг нэмэгдүүлэх болон эдийн засаг, нийгмийн тогтвортой өсөлтөд сөргөөр нөлөөлж буй гол бэрхшээл болж байна.
Монгол Улсад ч мөн 21-р зууны эхэн үеэс байгалийн нөөц баялагт тулгуурласан эдийн засгийн бүтэц голлох болж, эрчим хүчний эх үүсвэр, байгалийн нөөцийг шавхан барагдуулах хандлагатай, хүрээлэн буй орчноо доройтуулах, хүлэмжийн хийн ялгаралтыг нэмэгдүүлэх, үр ашиг муутай хэрэглээтэй болсон нь байгаль экологид сөрөг нөлөө үзүүлж байна. Үүний зэрэгцээ ядуурал, ажилгүйдэл, хүний эрхийн зөрчил, хөдөлмөр хамгааллын доголдол, цаашлаад бидний хосгүй нүүдэлчин өв соёл, ахуй уламжлал алдагдах эрсдэл өсч, шийдвэрлэх шаардлагатай асуудлууд олноор нэмэгдсээр байна.
Иймд эдийн засгийн өсөлтийг хангахын зэрэгцээ байгаль орчинд ээлтэй, нийгмийн хариуцлагаа ухамсарласан санал санаачлагыг дэлхий даяар дэмжин аливаа үйл ажиллагааг “тогтвортой (Sustainable)” байлгахыг чухалчилж байна. “Тогтвортой хөгжил (Sustainable Development)” нь өнөө болон ирээдүй үеийнхэндээ хохирол учруулахгүйгээр эдийн засаг, байгаль орчин, нийгмийн хөгжлийн харьцааг тэнцвэржүүлэн зөв зохистой хөгжлийг бүтээх үзэл баримтлал юм.
Тэгвэл тогтвортой санхүүжилт гэж юу вэ?
Тогтвортой хөгжлийн тогтолцооны суурийг бэхжүүлэх, хэрэгжилтийг хурдасгахад санхүүгийн хөшүүрэг чухал нөлөөтэй учир банк, санхүүгийн байгууллагууд тогтвортой санхүүжилтийн үзэл баримтлалаар дамжуулан улс орныхоо зөв хөгжлийн явцад хувь нэмрээ оруулах боломжтой байдаг. Тогтвортой санхүүжилт гэдэг нь хөрөнгө оруулалт хийх, зээл олгох болон аливаа санхүүгийн шийдвэр гаргахдаа тухайн бизнесийн үйл ажиллагаа нь байгаль орчин, нийгэмд сөрөг нөлөөлөл үүсгэх эсэхийг харгалзах, сөрөг үр дагавар үүсгэхээр бол түүнийг бууруулах арга хэмжээ авах, ноцтой хохирол учруулж болзошгүй бол санхүүжүүлэхээс татгалзах хүртэл шийдвэр гаргах цогц зарчмуудын тухай ойлголт юм. Иймээс гадаадын олон улс тогтвортой санхүүжилтийн зарчмуудыг боловсруулж, тэдгээрийг хөрөнгө оруулалт, зээл, санхүүгийн үйл ажиллагаандаа нэвтрүүлэхийг эрмэлзэн ажиллаж байна.
Монгол Улсын Тогтвортой Санхүүжилт (ТоС)-ийн хөтөлбөр
Монгол улсын банкууд улс орныхоо эдийн засгийн хөгжилд голлох үүрэгтэй оролцож буй салбарын төлөөлөл болохын хувьд банк, санхүүгийн системд тогтвортой санхүүжилтийн үзэл баримтлалыг байгаль орчныг хамгаалах, нийгмийн хариуцлагын бодлогоор дамжуулан нэвтрүүлэхийг санал нэгтэйгээр дэмжсэн бөгөөд 2013 оны 11 дүгээр сарын 21-ний өдөр “Монгол Улсын нийгэм, байгаль орчинд ээлтэй Тогтвортой санхүүжилтийн бодлогыг хөгжүүлэхийн төлөөх хамтарсан тунхаг бичиг”-т гарын үсэг зурж, “Монгол Улсын Тогтвортой Санхүүжилт (ТоС)-ийн хөтөлбөр”-ийг хэрэгжүүлэхээр шийдвэрлэсэн юм.
Уг шийдвэрийн дагуу Монголын Банкны Холбоогоор ахлуулсан, нийт банкууд, Монголбанк, БОНХАЖЯ болон СЗХ-ны төлөөллөөс бүрдсэн тогтвортой санхүүжилтийн ажлын хэсэг байгуулагдсан юм. Ажлын хэсгийн үйл ажиллагааны хүрээнд Монгол Улсын байгаль орчин, нийгэмд тулгамдаж буй гол гол асуудлуудыг харгалзан тусгасан Монгол Улсын Тогтвортой санхүүжилт (ТоС)-ийн зарчмууд болон салбарын удирдамжууд (уул уурхай, хөдөө аж ахуй, барилга, боловсруулах үйлдвэр)-ыг боловсруулсан бөгөөд нийт банкууд 2015 оны I улирлаас эхлэн өөрсдийн үйл ажиллагаандаа нэвтрүүлэн ажиллаж байна.
Тэгвэл ТоС-ийн зарчмуудыг хэрэгжүүлж эхэлснээс хойш ямар ажлууд хийгдэв?
Монгол Улсад тулгамдаж буй байгаль орчин, нийгмийн асуудлыг банкны салбар дангаар, нэг дор шийдвэрлэх боломжгүй тул ТоС-ийн зарчмуудыг үр дүнтэй, шат дараалалтайгаар хэрэгжүүлэхийг зорин банкууд “Монгол Улсын Тогтвортой санхүүжилт (ТоС)-ийн хөтөлбөрийн гишүүдээс хамтран хэрэгжүүлэх арга хэмжээний баримт бичиг”-т гарын үсэг зуран,эхний ээлжинд хэд хэдэн тодорхой ажлыг нэгдсэн байдлаар хэрэгжүүлэн ажиллаж байна.
Юуны түрүүнд банкууд өөрсдийн тогтвортой санхүүжилтийн бодлого, журам, хариуцсан бүтэц орон тоог батлахаас гадна, банкны ажилтнуудад тогтвортой санхүүжилтийн чадавхи бүрдүүлэх сургалт, уулзалтууд болон харилцагч, хамтран ажиллагч байгууллагуудад чиглэсэн мэдээллийн ажлуудыг өргөнөөр зохион байгуулж байна. Түүнчлэн ТоС-ийн 8 зарчмын нэг болох “Санхүүгийн хүртээмжийг дэмжих зарчим”-ыг нэн тэргүүнд хэрэгжүүлж, хөгжлийн бэрхшээлтэй иргэдийн санхүүгийн бүтээгдэхүүн, үйлчилгээ авах боломжийг нэмэгдүүлэх зорилгоор АТМ болон цахим хуудсыг харааны бэрхшээлтэй иргэд ашиглах боломжтой болгох, хөгжлийн бэрхшээлтэй иргэдэд дараалал харгалзахгүй үйлчлэх болон эдгээр иргэдэд санхүүгийн үйлчилгээ үзүүлэх асуудалд илүү анхаарал хандуулан энэ талаарх сургалтыг теллер, харилцагчийн үйлчилгээний ажилтнуудад шат дараатайгаар зохион байгуулж байна.
Цаашлаад ТоС-ийн гол зарчим болох “Байгаль орчноо хамгаалах зарчим”-ын хүрээнд ТоС-ийн гишүүн банкууд зарим харилцагчийн байгаль орчин, нийгмийн эрсдэлийг тооцоолдог болох, мөн уул уурхай, барилга, хөдөө аж ахуй, боловсруулах үйлдвэр зэрэг байгаль орчин, нийгмийн өндөр эрсдэлтэй салбаруудад чиглэсэн тусгай шаардлагуудыг тавьдаг болох гэж байна. Ингэхдээ мэдээж тухайн бизнесээ аль болох дэмжих, зөвлөгөө өгөх, сөрөг нөлөөллийг бууруулах арга замыг эрэлхийлэн хамтран ажиллана.
Банкууд харилцагчийн эрсдэлийг тооцоолохоос гадна өөрсдөө нийгэмд үлгэр дуурайлал үзүүлэх зорилгоор “Үлгэрлэн манлайлах зарчим”-ыг баримталж, ус, цаас, эрчим хүчний хэмнэлттэй үйл ажиллагаа явуулах санал санаачлагуудыг төрөл бүрээр хэрэгжүүлж, “Банкны төгөл” мод тарих аян, “ТоС 7 Хоног” зэрэг олон нийтэд чиглэсэн арга хэмжээнүүдийг мөн зохион байгууллаа.
Банкууд үүний ижил байгаль орчин, нийгэмд ээлтэй олон санаачлага, үйл ажиллагааг цаашид ээлж дараатай зохион байгуулах бөгөөд бодлого тодорхойлогчид, бусад бизнесийн салбарууд, олон нийт, иргэдтэй хамтран ажиллаж бодлого, чиглэлүүдээ уялдуулахад анхаарч ажиллахаар төлөвлөж байна.
",https://www.xacbank.mn/page/mongolian-sustainable-finance-initiative-mongolian-sustainable-finance-initiative
Афлатон хөтөлбөр,"Афлатон нь 6-18 насны хүүхдэд зориулсан нийгмийн болон санхүүгийн боловсрол олгох хөтөлбөр юм. Хөтөлбөрийн зорилго нь шавь төвтэй сургалтын аргаар хүүхдэд нийгмийн болон санхүүгийн боловсрол олгож өөртөө итгэлтэй, нийгмийн хариуцлагатай иргэн болгон төлөвшүүлдэг ба энэ нь хөтөлбөр хэрэгжсэн олон орны туршлагаар батлагдаад байгаа билээ. Энэхүү хөтөлбөрийн сургалтаар хүүхэд өөрийгөө танин мэдэж, авъяас чадвараа хөгжүүлэх, эрхээ эдэлж үүргээ ухамсарлах, мөнгө болон бусад баялгийг зөв зарцуулах, хуримтлуулах, төсөвлөж төлөвлөх, нийгмийн болон санхүүгийн үйл ажиллагааг өөрсдийн санаачилгаар зохион байгуулах чадварыг эзэмшинэ.
Монгол улсад 2010 онд тус хөтөлбөрийг ХасБанкны санхүүгийн дэмжлэгтэйгээр Хөгжлийн Алтан Сан Холбоо ТББ-аас туршилтаар хэрэгжүүлж, 2014 оны байдлаар хот хөдөөгийн 15 ерөнхий боловсролын сургуулийн  нийт 8-11 насны 2,520 сурагчийг хамруулаад байна.",https://www.xacbank.mn/page/aflatoun-financial-and-social-education-program
Тэмүүлэл хөтөлбөр,"ХасБанк нь байгуулагдсан цагаасаа эхлэн Монгол Улсын ирээдүй болсон хүүхэд, залуучуудад зориулсан бүтээгдэхүүн, үйлчилгээ, үйл ажиллагаанд анхаарал хандуулж, нийгмийн хариуцлагаа ухамсарлан ажилласаар ирсэн билээ. Эдгээр үйл ажиллагааны нэг нь Эмэгтэйчүүдийн Дэлхийн Банк, Бичил Санхүүгийн Боломж байгууллагуудтай хамтран хэрэгжүүлж буй өсвөр үеийнхэнд зориулсан “Тэмүүлэл” санхүүгийн боловсролын хөтөлбөр юм.
Санхүүгийн боловсрол хөтөлбөр нь 14-18 насны хүүхдүүдийг өсвөр наснаас нь мөнгөтэй харьцаж сургах, мөнгийг зөв удирдаж өөрийн ирээдүйд хувь нэмэр оруулахад туслах зорилготой бөгөөд хичээлийн бус цагаар сургадаг.
",https://www.xacbank.mn/page/aspire-financial-education-program
